idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
11,label,asymptotic stability,differentiation,frequency response,robust control,time-varying systems,,,,,,,,,,,,,,,
12,multipartiterank,objects,topology,adaptive modeling,surface evolutions,methods,initial approximation,model,sensor data,arbitrary topology,paper,closed surface,mathematicians,equivalent,3d object,mathematical morphology,inefficient,distance transformations,dimensions,whole object surface,surface evolution approach
12,label,approximation theory,curvature measurement,distance measurement,image processing,mathematical morphology,minimisation,set theory,topology,,,,,,,,,,,,
13,multipartiterank,car,pin friction,caravan snaking,detailed mathematical model,influence,brief review,knowledge,baseline set,model,linear,stability,pintle joint,trailer system,parameter values,satisfactory solution,accordance,contemporary car,literature,background,results
13,label,automobiles,dynamics,friction,motion control,vibration control,,,,,,,,,,,,,,,
14,multipartiterank,dpm,monte carlo code,electron beams,racetrack microtron,calculations,dose planning method,mev,central axis depth dose measurements,profile scans,measurements,scanditronix type rk ion chamber,source spatial distributions,accuracy,series,comprehensive set,various depths,dose calculations,water phantom,source,mev beams
14,label,dosimetry,electron beam applications,electron transport theory,medical computing,monte carlo methods,radiation therapy,,,,,,,,,,,,,,
15,multipartiterank,direct aperture optimization,optimization,step,beam angle,shoot,imrt imrt treatment plans,leaf,maps,maximum number,intensity distributions,apertures,algorithm,deliverable aperture shapes,beam direction,significant control,treatment delivery,number,optimization step,application,turnkey solution
15,label,dosimetry,intensity modulation,inverse problems,medical computing,monte carlo methods,optimisation,planning,radiation therapy,simulated annealing,,,,,,,,,,,
16,multipartiterank,software platform,hardware,time processing,echographic radiofrequency signals,real,visualization,commercial echograph,signal access,ultrasonic investigation,architecture,platform,processing technique,radiofrequency,software signal processing,paper,system,essential prerequisite,processing algorithm,particular user interface,different stages
16,label,acoustic signal processing,biomedical ultrasonics,data visualisation,medical signal processing,real-time systems,,,,,,,,,,,,,,,
17,multipartiterank,optimization,deterministic approach,conditions,single pass,strategy,cam software,economic trends,operations,software,optimization analysis,selection,graphical representation,economic cutting conditions,mathematical analyses,feed,single pass turning operations,criteria,host,speed domain,practical constraints
17,label,computer aided production planning,computerised numerical control,cutting,machine tools,machining,optimisation,,,,,,,,,,,,,,
18,multipartiterank,advanced optimization strategies,rice dhpf compiler high,hpf,applications,performance fortran,scalable parallel performance,substantial restructuring,legacy fortran codes,effective parallelization,optimization,regular data,challenges,hand,vehicle,parallel applications,large extent,broad spectrum,today,powerful compiler analysis,available hpf compilers
18,label,fortran,optimising compilers,parallelising compilers,,,,,,,,,,,,,,,,,
19,multipartiterank,local activity criteria,map cnn discrete,time cnn systems,discrete,application,paper,local activity principle,chua,cnn system,loaded cell impedance,systems,result,nonhomogeneous spatiotemporal patterns,parameter value,strength,initial setting,critical threshold,active,critical coupling coefficient,spiral wave
19,label,cellular neural nets,chaos,difference equations,,,,,,,,,,,,,,,,,
20,multipartiterank,knowledge management,brief,article,identifying,history,steps,storing,interdisciplinary nature,principles,focus,strategies,organizing,capturing,sharing,role,functions,pattern,creating,knowledge management initiatives,
20,label,business data processing,data warehouses,management information systems,marketing data processing,,,,,,,,,,,,,,,,
21,multipartiterank,trajectory control,fractional,classical arms,corresponding trajectory planning schemes,order dynamics,redundant manipulators redundant manipulators,chaotic phenomena,advantages,obstacles,resolution,type,singularities,presence,important limitations,kinematic control algorithms,arms,free space,general,paper,inverse matrices
21,label,calculus,chaos,inverse problems,matrix algebra,nonlinear dynamical systems,optimisation,position control,redundant manipulators,,,,,,,,,,,,
22,multipartiterank,access privilege management,objects,lock,key,number,alternative methodologies,possession,protection systems,polymorphic access rights,relation,access privileges,access,results,extent,problem,single lock,lock technique,selective revocation,variants,basic key
22,label,authorisation,,,,,,,,,,,,,,,,,,,
23,multipartiterank,global crossing,deal,singapore technologies,hutchison telecommunications,control,steal,new investors,lot less money,bankrupt carrier intact,clear,,,,,,,,,,
23,label,telecommunication,,,,,,,,,,,,,,,,,,,
24,multipartiterank,fabrication,polymeric microlens,hemispherical shape,microcompression molding process,polymeric microlenses,mold insertion,important role,weight,optical data storage,size,cost,optical communication systems,design,fabrication procedures,metal,silicon,pmma powder,pressure histories,magnification ratio,temperature
24,label,microlenses,micromachining,moulding,optical design techniques,optical fabrication,optical polymers,optical storage,,,,,,,,,,,,,
25,multipartiterank,accurate cog defuzzifier design,evolution,learning,design technique,optimal center,design parameters,paper,gravity,local search,approximation ability,cog defuzzifier,widths,cog,modifiers,mfs,centers,capability,truck backer,wider,application
25,label,control system synthesis,fuzzy control,learning (artificial intelligence),parameter estimation,,,,,,,,,,,,,,,,
26,multipartiterank,entire version,advertising,sd times,revenue,new york times,print versions,readers,web,publications,others,reasons,prospective subscribers,popular mechanics,trade magazine electronic buyers,paper,months alone,option,online,pdf subscriptions,past
26,label,electronic publishing,,,,,,,,,,,,,,,,,,,
27,multipartiterank,gaussian states,local manipulation,general necessary,sufficient criterion,possibility,conditions,variable system,bipartite continuous,class,modes,operations,local gaussian,positive trace,set,state transformation,mixed gaussian state,maps,,,
27,label,bound states,covariance matrices,gaussian processes,information theory,quantum communication,quantum theory,transforms,,,,,,,,,,,,,
28,multipartiterank,player games,linear time special case,mc games mc games,graphs,mc games,infinite duration,winner,equivalent,modal mu,calculus model checking,class,article,linear time algorithm,connected component,common vertex,game graph,results,cycles,linear time,parity games
28,label,game theory,,,,,,,,,,,,,,,,,,,
29,multipartiterank,grid,wind turbine modelling,wind turbine voltage stability control,power system stability investigations,results,note,mutual effects,voltage stability,temporary reduction,wind turbines,power grid,blade angle control,short circuit fault,wind turbine power,,,,,,
29,label,power system dynamic stability,short-circuit currents,wind turbines,,,,,,,,,,,,,,,,,
30,multipartiterank,temperatures,inserts,many models,tools,finite element study,tool nose radius,various tool geometries,materials temperatures,effects,angle effects,wear,temperature correction factor model,fea,thermal softening,interest,machining,tool temperatures,report,sharp corner,rectangular slab
30,label,cutting,machine tools,machining,mesh generation,temperature distribution,,,,,,,,,,,,,,,
31,multipartiterank,neural network,population,algorithm approach,hybrid,reliability optimization problem,system reliability,algorithm,cost,dedicated artificial neural network,hybrid approach,technical feasibility constraints,sro,paper,system reliability optimisation,formulation,problem,description,solution,dedicated neural network,example sro problem
31,label,learning (artificial intelligence),neural nets,optimisation,reliability theory,,,,,,,,,,,,,,,,
32,multipartiterank,fabrication,microinjector,commercial inkjet printhead,droplet ejection sequences,times higher,microinjector free,frequency monolithic top,implementation,high,characterization,satellite drops,part ii,comparison,least,even solvents,fuels,commercial printing head,silicon wafer,bubble check valve,thermal
32,label,bubbles,crosstalk,drops,ink jet printers,microfluidics,micromachining,nozzles,,,,,,,,,,,,,
33,multipartiterank,internet traffic streams,dragonflies,lifetime,size,streams,method,internet links,traffic distributions,different sites,tortoises,concept,significant number,short,percent,flows,ways,high volume,isps,less,hours
33,label,internet,packet switching,performance evaluation,telecommunication network routing,telecommunication traffic,,,,,,,,,,,,,,,
34,multipartiterank,commerce,tentative,purported demise,market,views,opportunities,early excesses,bankers bold,outspoken ceo,commerce company escout,sandy kemper,,,,,,,,,
34,label,banking,electronic commerce,,,,,,,,,,,,,,,,,,
35,multipartiterank,efficient cellular automata,versatile multiplier,low,cost,paper,user,pca,complexity programmable cellular automata,feasible,cost serial implementation,smart cards,computing environments,different security environments,wireless devices,high order,multiplier,versatile modular multiplier,versatile multiplier increases flexibility,,
35,label,cellular automata,cryptography,,,,,,,,,,,,,,,,,,
36,multipartiterank,quantum,nuclear magnetic resonance,information processing,system,experimental implementation,adder,half,many computational tasks,subtractor operations,spin-7,qubits,paper,advantages,number,terms,states,largest progress,entanglement,quantum systems,superposition
36,label,adders,computation theory,nuclear magnetic resonance,quantum gates,spin systems,,,,,,,,,,,,,,,
37,multipartiterank,senate,powell,fcc,fcc chairman michael powell,recovery plan,telecom,step market,commerce committee,members,revival,senate last week,regulation,,,,,,,,
37,label,telecommunication,,,,,,,,,,,,,,,,,,,
38,multipartiterank,handles,exception safety,complicated data structures,part,simple handle class,assignment operator,object,inheritance,safe,trouble,programmers,memory,class,data structures,obvious way,simplest form,idea,actual data,classical method,exception
38,label,c++ language,exception handling,inheritance,object-oriented programming,storage management,,,,,,,,,,,,,,,
39,multipartiterank,erosion,corrosion,power equipment,metals,phase flows,computational model,paths,ramek-2,calculations,structural steels,results,dependency,phase,intensity,hydrodynamic,water chemistry parameters,physicochemical processes,thermodynamic,function,protective maintenance
39,label,corrosion,flow simulation,physics computing,power apparatus,power engineering computing,power stations,two-phase flow,,,,,,,,,,,,,
40,multipartiterank,pid controller,nonlinear systems,robust self,preload relay,paper,tuning,operating regime digresses,pid controller suitable,control scheme,signal,series,undesirable,inevitable feature,control system,chattering,particular operating point,high gain,time,applicable,simulation results
40,label,adaptive control,control system analysis,level control,nonlinear control systems,relay control,robust control,self-adjusting systems,stability,three-term control,time-varying systems,,,,,,,,,,
41,multipartiterank,proportion,approximate confidence intervals,difference,method,asymptotic normal approximation,distribution,pseudo,routine exercise,variance,sample proportion,daily data analysis,confidence interval,medium sample sizes,binomial proportion,small,bad performance,adding-4 method,test,wald interval,observed
41,label,approximation theory,binomial distribution,data analysis,normal distribution,sampling methods,,,,,,,,,,,,,,,
42,multipartiterank,new feature recognition algorithms,papers,experimental results,algorithms,extensive tests,evaluation,general,purpose feature detection techniques,performance,ibid,second,comparative analysis,development,first paper,geometric modelling system,methodology,acis,sun workstation,face sets,components
42,label,feature extraction,mechanical engineering,,,,,,,,,,,,,,,,,,
43,multipartiterank,decisions,process,motivation,motivates subsequent pursuit,eventual realization,decision process,dp importance,dp effort investment,goal intention,potential,research,disciplines,action psychologists,characteristics,people,participants,field studies,pursuit,motivational mechanisms,contrast
43,label,behavioural sciences,decision theory,human resource management,,,,,,,,,,,,,,,,,
44,multipartiterank,uk health records,plans,massive cradle,scheme,viable,record makers,grave electronic records project,government,,,,,,,,,,,,
44,label,health care,,,,,,,,,,,,,,,,,,,
45,multipartiterank,map,stability,linearization,part condition,theorem,hadamard,homeomorphism,family,condition,nonlinear system,incomplete,banach space,useful,sense,related linear systems,lipschitz continuous inverse,attention,weak additional assumption,related familiar family,result
45,label,feedback,input-output stability,linearisation techniques,nonlinear systems,,,,,,,,,,,,,,,,
46,multipartiterank,monotonicity conservation,numerical solutions,monotonicity,characteristic properties,heat equation,sufficient condition,space,total monotonicity,stability,convergence,process,paper,initial heat distribution,statements,conservation,important,step vector,practice,qualitative property,iterations
46,label,differential equations,heat transfer,matrix algebra,,,,,,,,,,,,,,,,,
47,multipartiterank,publishing markets,previews,hardware,way,software,tablet pcs,markets,,,,,,,,,,,,,
47,label,notebook computers,publishing,,,,,,,,,,,,,,,,,,
48,multipartiterank,like neural architecture,rbf,identification approach,structured modelling,manipulator dynamics,robot type,complete robot dynamics,neural network,like static neural networks,neural architecture,general system analysis independent,order,grid,knowledge,priori,fixed,specific features,neuron placement,lot,optimal adjustment
48,label,identification,learning (artificial intelligence),manipulator dynamics,neural net architecture,radial basis function networks,splines (mathematics),,,,,,,,,,,,,,
49,multipartiterank,dwt,type,lifting factorization,intdwt,additions,lifting steps,discrete,integer,general method,point multiplication free,various types,relationships,new integer dwts,steps,iii,lifting matrices,new transforms,integer transforms,fast algorithms,computational complexities
49,label,channel bank filters,data compression,discrete wavelet transforms,matrix algebra,mobile computing,transform coding,,,,,,,,,,,,,,
50,multipartiterank,corporate sector,virtual victory,fashionable virtual network operators,virtual networks,,,,,,,,,,,,,,,,
50,label,telecommunication,,,,,,,,,,,,,,,,,,,
51,multipartiterank,polymorphic subtypes,products,relation,paper,system,comprehensive study,undecidability issues,devoted,sequent,subtype,complete hilbert style axiomatization,decidability,sound,presence,encodable,key role,natural deduction,new form,cut elimination,logical semantics
51,label,decidability,process algebra,semantic networks,,,,,,,,,,,,,,,,,
52,multipartiterank,adaptive deformable models,elastic parameters,technique,model,data,kalman filter framework,shape estimation applications,automatic adaptation,distance,novelty,constant,deformable model,rate,spatio,change,algorithm,physics,variation,pass,response
52,label,computer vision,filtering theory,geometry,kalman filters,nonlinear filters,parameter estimation,,,,,,,,,,,,,,
53,multipartiterank,simulation,cardiovascular physiology,diastolic function,heart,right ventricular capacitance,sets,left ventricle failure,equivalent electronic circuit,cardiac output,basic variables,stroke volume,systolic,possible,negative intrathoracic pressure,cardiovascular system,diastolic relaxation,functions,understanding,presented simulations,left ventricular relaxation
53,label,cardiovascular system,digital simulation,medical computing,physiology,,,,,,,,,,,,,,,,
54,multipartiterank,optimal allocation,several independent variables cheng,simulation metamodel,runs,main limitations,kleijnen,queuing system,output,general regression metamodel,regression function,polynomial,independent variable,explicit formula,limitations,optimal way,simulation,different design points,,,
54,label,design of experiments,minimisation,simulation,,,,,,,,,,,,,,,,,
55,multipartiterank,adobe,future,newspaper,system market,quark xpress,new respect,editorial system vendors,solid alternative,pagination,long run,mac,adobe indesign,developers,new software architectures,,,,,,
55,label,publishing,software packages,,,,,,,,,,,,,,,,,,
56,multipartiterank,aggregators,years,large,industry experts,disintermediators,scale content aggregators,many,oldest,world,dialog,largest professional online information service,thirtieth anniversary,pessimistic,predictions,future,case,information superhighstreet,users,reasons,value
56,label,information industry,information services,,,,,,,,,,,,,,,,,,
57,multipartiterank,brain architecture,intensity,feature similarity,registration method,affine registration,region,spatial normalization,paper,different subjects,global brain,interest,method,quantitative comparison,affine transformation,common coordinate system,feature,new spatial normalization,analysis,lateral ventricle,necessary
57,label,brain,diseases,feature extraction,image registration,medical image processing,stereo image processing,,,,,,,,,,,,,,
58,multipartiterank,computer science major,women,letters,numbers,attractive,college choice,last decade,ratio,female,great interest,male computer science majors,entire segment,major,opportunities,respective institutions,order,computing,disappointed,women students,balanced
58,label,computer science education,gender issues,social aspects of automation,,,,,,,,,,,,,,,,,
59,multipartiterank,functioning,characteristics,insurance company,ruin,advertising expenses,average capital,survival probabilities,conditional time,basic characteristics,influence,allowance,,,,,,,,,
59,label,advertising,costing,insurance,probability,,,,,,,,,,,,,,,,
60,multipartiterank,strategy,change,part,technology,valiant programme,component,individual forces available,information,application,national basis,heart,,,,,,,,,
60,label,police,,,,,,,,,,,,,,,,,,,
61,multipartiterank,sprint pcs,verizon,q2 subscriber numbers,wireless carrier industry,second,quarter results,market share,surprising shift,subscriber additions,grace,year lead,verizon wireless,analysts,,,,,,,
61,label,radio access networks,telecommunication,,,,,,,,,,,,,,,,,,
62,multipartiterank,treatment,physical dose distributions,multileaf collimator leaf width,head,cns,neck neoplasms,leaf widths,target volume,nearby critical structure,cases,sets,organ avoidance,intensity,beam parameters,radiation therapy,mm plans,parotid preservation,radiation dose conformality,goal,mm leaf widths
62,label,dosimetry,intensity modulation,medical computing,neurophysiology,radiation therapy,tumours,,,,,,,,,,,,,,
63,multipartiterank,strategic implementation,construction,information systems,projects,information technology,case,project management information system,need,pmis,improved implementation,negative consequences,south east,queensland,mobile phone telecommunications network,prescriptive research studies,productivity,framework,recent,innovation,empirical
63,label,civil engineering computing,management information systems,project management,strategic planning,,,,,,,,,,,,,,,,
64,multipartiterank,add,ultrasonic detectors,sensitivity calibration,paper,basic problems,utilization,sensitivity,add diagrams,normal,slanted transducers,software,software package add universal,compatible,version,individual add diagrams,convenient tool,contemporary operational system windows-95,reference signals,sample,calibration
64,label,calibration,physics computing,sensitivity,software packages,ultrasonic materials testing,ultrasonic transducers,,,,,,,,,,,,,,
65,multipartiterank,server,tax service peterborough,real,tax consultancy ie taxguard,time failover protection,important windows,uk supplier neverfail,applications,solution,time backup,order,powerful failover server,core production servers,,,,,,,
65,label,back-up procedures,network servers,system recovery,tax preparation,,,,,,,,,,,,,,,,
66,multipartiterank,ethernet networks,clear,cutting,business,network,choice,mindshare,battle,implementation,edge manufacturers,factory floor,war,ethernet,technology,widespread basis,,,,,
66,label,factory automation,local area networks,manufacturing industries,,,,,,,,,,,,,,,,,
67,multipartiterank,international customers,information service,suppliers,document delivery,orders,customers,purdue university libraries library fee,needs,fee,international suppliers,tis,esoteric document requests,successful completion,difficult,technical information service,ability,fragmentary citations,ascertain documents,availability,inclusive cost quotes
67,label,academic libraries,costing,document delivery,interlibrary loan,,,,,,,,,,,,,,,,
68,multipartiterank,copyright management,music,digital content creators,issue,particular,side,popular,consumers,serious thorn,problems,martin brass,value,merrill lynch,digital age,senior industry consultant,online delivery,syntegra,online music market,,
68,label,copyright,internet,music,,,,,,,,,,,,,,,,,
69,multipartiterank,point wavelets,wavelets,image compression,applications multiresolution analysis,new class,numerical analysis,authors,better wavelets relevant,functions,point subdivision scheme,physical simulation,signal compression,mra,useful,applications,multiple levels,details,broad range,paper,symmetric
69,label,computational complexity,data compression,image coding,interpolation,splines (mathematics),wavelet transforms,,,,,,,,,,,,,,
70,multipartiterank,breast,reproducibility,repeat setups,supine position purpose,internal tissue shifts,mammary gland structure,supine position,tissue shifts,accurate localization,healthy volunteers,account,therapy,extent,position,complete excision,large breasts,effect,part,reproducibility margins,acceptable cosmetic outcome
70,label,biomedical mri,image registration,image segmentation,mammography,medical image processing,tumours,,,,,,,,,,,,,,
71,multipartiterank,automatic layout,adaptable dialog boxes,platform,source code,xml,implementation,run,combination,time dialog creation,pain,specific resources,benefits,framework,localization,layout engine,mac os,handling dialog size changes due,author,look,method
71,label,c++ language,graphical user interfaces,hypermedia markup languages,software portability,,,,,,,,,,,,,,,,
72,multipartiterank,orm,metaschemas,uml data models,comparison,expressibility,simplicity,offs,orthogonality,language transparency,trade,optionality,cardinality,paper,conceptual schema diagrams,information engineering,influence,class diagrams,discussion,unified modeling language,object role modeling
72,label,data models,diagrams,entity-relationship modelling,object-oriented databases,relational databases,specification languages,,,,,,,,,,,,,,
73,multipartiterank,manifolds,algorithm,embedding space,dimension,simplicial complex,curves,samples,cases,space,successful examples,geometry,tangent bundle,approximations,topology,important property,plane,description,knowledge,surfaces,finite
73,label,computational complexity,computational geometry,computer vision,hilbert spaces,learning (artificial intelligence),topology,,,,,,,,,,,,,,
74,multipartiterank,pc control,hmi integrating pc,plant floor system,human machine interface,control,hmi,technology,plc,input,output,soft programmable logic controller,many things,standard pc interfaces,strategies,control system,system,control application,application programming interfaces,,
74,label,man-machine systems,manufacturing processes,microcomputer applications,peripheral interfaces,process control,programmable controllers,user interfaces,,,,,,,,,,,,,
75,multipartiterank,robust model,order reduction,complex biological processes,paper,state,nonlinear,pde,model,errors,scale biological nutrient removal,pilot,existing,bnr,experimental data,sludge plant,singular perturbation approximation,state variables,parameter model,general algorithm,truncating technique
75,label,biotechnology,control system synthesis,nonlinear control systems,nonlinear differential equations,partial differential equations,reduced order systems,robust control,singularly perturbed systems,state-space methods,water treatment,,,,,,,,,,
76,multipartiterank,efficient transitive closure reasoning,part,class,containment hierarchy class hierarchies,reasoning systems,knowledge representation,many,backbone,transitive closure reasoning,artificial intelligence,part hierarchies,containment hierarchy,classification,inheritance,reduced tree cover,important,combined class,paper,speeds comparable,architecture
76,label,inference mechanisms,knowledge representation,medical computing,parallel algorithms,tree data structures,vocabulary,,,,,,,,,,,,,,
77,multipartiterank,servers,user,system,multicast data,new member,bandwidth,large,multicast applications,user pool,forward secrecy,multiple groups,logical,backward,joining,scale secure multicast,order,change,former member,leaving,known
77,label,cryptography,distributed processing,internet,large-scale systems,multicast communication,stock markets,telecommunication traffic,,,,,,,,,,,,,
78,multipartiterank,classicism,universality,human cognition,capacity,problem,syntax,hallmarks,arguments,sensitive rules,mind,mental processes,causal explanations,marcus,arbitrary constituents,connectionism,strict,possible generalizations,pure classical component,implementation,lax
78,label,cognitive systems,neural nets,philosophical aspects,,,,,,,,,,,,,,,,,
79,multipartiterank,linear chaotic systems,projective synchronization,control,scaling factor,state vectors,observable,nonpartial linearity,general classes,chua,circuit,means,chaotic systems,feasibility,performance,high dimensional systems,applications,numerical experiments,value,rossler system,linear systems
79,label,chaos,chua's circuit,nonlinear control systems,synchronisation,,,,,,,,,,,,,,,,
80,multipartiterank,wavelet packet bases,image,operator diagonal,convolution,framework,wavelet packet basis,average,translations,total variation approaches,methods,practice,approximations,image blur,wavelet packet,drawbacks,possibility,new variational method,several operators,experiments,approaches
80,label,convolution,deconvolution,image restoration,wavelet transforms,,,,,,,,,,,,,,,,
81,multipartiterank,time optimal control problems,graph,continuous,class,paper,solution method,combinatorial,control regimes,optimal control problems,shortest path,bang,analytical study,time,singular,numerical computation,solutions,path algorithm,state problems,techniques,shortest
81,label,bang-bang control,continuous time systems,graph theory,optimal control,production control,railways,search problems,singular optimal control,,,,,,,,,,,,
82,multipartiterank,new model,sat model,solvable random satisfiability problem,generation,statistical ensemble,ricci,exact finite,tersenghi,model,hyper,weigt,random satisfiability problems,extension,zecchina,unsat transition,calculable,replicas,need,size corrections,sat
82,label,combinatorial mathematics,computability,computational complexity,optimisation,,,,,,,,,,,,,,,,
83,multipartiterank,hitachi cm715et,pounds,monitors,eizo flexscan t766,ctx pr960f,liyama vision master pro,hansol 920d,adi microscan m900,sony multiscan cpd,samsung syncmaster 959nf,little,displays,lg flatron 915ft,nec multisync fe950,mitsubishi diamond pro,test,answer,g420,philips,last word
83,label,buyer's guides,cathode-ray tube displays,,,,,,,,,,,,,,,,,,
84,multipartiterank,berkshire group,fidelity,advice,solutions,fleetboston,companies,services,products,technology choices,strong technology platform,finance,,,,,,,,,
84,label,investment,,,,,,,,,,,,,,,,,,,
85,multipartiterank,agile revolution,new business revolution,air,theory,technology,business agility,agility,,,,,,,,,,,,,
85,label,management information systems,,,,,,,,,,,,,,,,,,,
86,multipartiterank,network security,truth,al qaeda,tip,tongues,world,war games,terror groups,network,dangers,,,,,,,,,,
86,label,computer crime,computer network management,security of data,,,,,,,,,,,,,,,,,
87,multipartiterank,timely fashion thanks,part,harmonic spray,ok removing residues,market,equipment,innovative wafer,controls maker rockwell automation,controls,,,,,,,,,,,
87,label,control systems,motion control,process control,semiconductor device manufacture,surface cleaning,,,,,,,,,,,,,,,
88,multipartiterank,option pricing formulas,generalized form,stock,black,scholes,nonextensive thermodynamics parameter,financial instruments,partial differential equation,option prices,closed,volatility smile,form solutions,multiple values,standard bs equation,economists,stock volatility,good description,returns,empirical distribution,single volatility
88,label,economic cybernetics,fluctuations,partial differential equations,stock markets,,,,,,,,,,,,,,,,
89,multipartiterank,direct current,edison,th century,dc power,midtown,manhattan,resistance dimmer,broadway,show,new york city,original introduction,availability,thomas edison,early decades,archaic form,pearl street station,stage lighting control,theater district,perpetuation,typical incandescent lamps
89,label,dc power transmission,history,lighting control,,,,,,,,,,,,,,,,,
90,multipartiterank,ddos,attack,service attacks,internet,denial,flooding,large number,service,defense side,serious threat,stability,tutorial flooding,victim,typical ddos attack,hosts,current technologies,useless packets,tools,sophisticated,effective
90,label,authorisation,internet,packet switching,telecommunication security,,,,,,,,,,,,,,,,
91,multipartiterank,sentence extraction,probabilistic approach,summarization,documents,sentence compression,information,humans,summaries,salient pieces,grammatical,compressions,goals,abstract pairs,text,large collections,available,original document,simpler version,possible,decision
91,label,abstracting,computational linguistics,document handling,,,,,,,,,,,,,,,,,
92,multipartiterank,loop,data,chip memory,reuse,analysis,statements,framework,processors,data traffic,dependences,improvements,paper,loop nests,percent,tiling,maximal reuse,values,flow,greedy strategy,method
92,label,embedded systems,graph theory,microprocessor chips,program control structures,storage management chips,,,,,,,,,,,,,,,
93,multipartiterank,mammogram synthesis,3d simulation,texture,clinical,texture features,mammographic imaging process,evaluation,3d tissue distribution,different tissue regions,mammograms,method,synthetic mammograms,clinical texture,mammogram texture,compartments,mean features,breast tissue,synthesis algorithm,synthetic images,simulations
93,label,biological tissues,computer graphics,diagnostic radiography,fractals,image registration,image texture,mammography,mathematical morphology,medical image processing,physiological models,,,,,,,,,,
94,multipartiterank,mu feedback control design,performance requirements,precision wafer stage motion,conventional pid,like siso controllers,high,industry,sub infinity,devices,tighter,common,need,mimo control,problem,advanced controllers,performance,plant interaction,manufacturing,factor,major performance
94,label,feedback,h/sup infinity / control,integrated circuit manufacture,mimo systems,motion control,multivariable control systems,servomechanisms,,,,,,,,,,,,,
95,multipartiterank,syndicators,services,enterprise,offerings,products,wide content syndication technology,marketplace,infrastructure companies,efforts,enterprise clients,syndication companies,risky dot coms,enterprise syndicators,many syndication companies,,,,,,
